# epsilon     r     avg_deviation
0.0601     10     347.653
0.0602     10     347.653
0.0603     10     347.653
0.0604     10     347.653
0.0605     10     347.653
0.0606     10     347.653
0.0607     10     347.653
0.0608     10     347.653
0.0609     10     347.653
0.061     10     347.653
0.0611     10     347.653
0.0612     10     347.653
0.0613     10     347.653
0.0614     10     347.653
0.0615     10     347.653
0.0616     10     347.653
0.0617     10     347.653
0.0618     10     347.653
0.0619     10     347.653
0.062     10     347.653
0.0621     10     347.653
0.0622     10     347.653
0.0623     10     347.653
0.0624     10     347.653
0.0625     9     693.764
0.0626     9     693.764
0.0627     9     693.764
0.0628     9     693.764
0.0629     9     693.764
0.063     9     693.764
0.0631     9     693.764
0.0632     9     693.764
0.0633     9     693.764
0.0634     9     693.764
0.0635     9     693.764
0.0636     9     693.764
0.0637     9     693.764
0.0638     9     693.764
0.0639     9     693.764
0.064     9     693.764
0.0641     9     693.764
0.0642     9     693.764
0.0643     9     693.764
0.0644     9     693.764
0.0645     9     693.764
0.0646     9     693.764
0.0647     9     693.764
0.0648     9     693.764
0.0649     9     693.764
0.065     9     693.764
0.0651     9     693.764
0.0652     9     693.764
0.0653     9     693.764
0.0654     9     693.764
0.0655     9     693.764
0.0656     9     693.764
0.0657     9     693.764
0.0658     9     693.764
0.0659     9     693.764
0.066     9     693.764
0.0661     9     693.764
0.0662     9     693.764
0.0663     9     693.764
0.0664     9     693.764
0.0665     9     693.764
0.0666     9     693.764
0.0667     9     693.764
0.0668     9     693.764
0.0669     9     693.764
0.067     9     693.764
0.0671     9     693.764
0.0672     9     693.764
0.0673     9     693.764
0.0674     9     693.764
0.0675     9     693.764
0.0676     9     693.764
0.0677     9     693.764
0.0678     9     693.764
0.0679     9     693.764
0.068     9     693.764
0.0681     9     693.764
0.0682     9     693.764
0.0683     9     693.764
0.0684     9     693.764
0.0685     9     693.764
0.0686     9     693.764
0.0687     9     693.764
0.0688     9     693.764
0.0689     9     693.764
0.069     9     693.764
0.0691     9     693.764
0.0692     9     693.764
0.0693     9     693.764
0.0694     9     693.764
0.0695     9     693.764
0.0696     9     693.764
0.0697     9     693.764
0.0698     9     693.764
0.0699     9     693.764
0.07     9     693.764
0.0701     9     693.764
0.0702     9     693.764
0.0703     9     693.764
0.0704     9     693.764
0.0705     9     693.764
0.0706     9     693.764
0.0707     9     693.764
0.0708     9     693.764
0.0709     9     693.764
0.071     9     693.764
0.0711     9     693.764
0.0712     9     693.764
0.0713     9     693.764
0.0714     9     693.764
0.0715     9     693.764
0.0716     9     693.764
0.0717     9     693.764
0.0718     9     693.764
0.0719     9     693.764
0.072     9     693.764
0.0721     9     693.764
0.0722     9     693.764
0.0723     9     693.764
0.0724     9     693.764
0.0725     9     693.764
0.0726     9     693.764
0.0727     9     693.764
0.0728     9     693.764
0.0729     9     693.764
0.073     9     693.764
0.0731     9     693.764
0.0732     9     693.764
0.0733     9     693.764
0.0734     9     693.764
0.0735     9     693.764
0.0736     9     693.764
0.0737     9     693.764
0.0738     9     693.764
0.0739     9     693.764
0.074     9     693.764
0.0741     9     693.764
0.0742     9     693.764
0.0743     9     693.764
0.0744     9     693.764
0.0745     9     693.764
0.0746     9     693.764
0.0747     9     693.764
0.0748     9     693.764
0.0749     9     693.764
0.075     9     693.764
0.0751     9     693.764
0.0752     9     693.764
0.0753     9     693.764
0.0754     9     693.764
0.0755     9     693.764
0.0756     9     693.764
0.0757     9     693.764
0.0758     9     693.764
0.0759     9     693.764
0.076     9     693.764
0.0761     9     693.764
0.0762     9     693.764
0.0763     9     693.764
0.0764     9     693.764
0.0765     9     693.764
